record_id,name,vn_name,category,hq_province_current,plant_location,founded,ownership_country,stage,products,key_protein_inputs,scale_indicators,funding_known,website,status,source_ids,evidence_label,confidence,notes,origin,last_verified,change_log,province_current,province_former
CO-083,Nong Lam University HCMC,Dai hoc Nong Lam TP.HCM,other,Ho Chi Minh City,HCMC,n/a,Vietnam,other,Co-developed cricket feed formulas with Cricket One,n/a,n/a,Public,,active (checked 2026-09-23),ECO-10,VN-direct,Medium,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-084,GFI APAC,The Good Food Institute Asia Pacific,other,n/a (Singapore),n/a,2019 (not verified),Singapore/USA (NGO),other,"Regional alt-protein NGO; VN included in 6-country SE Asia consumer survey (about 6,000 respondents)",n/a,GFI ecosystem database lists 2 VN companies (both plant-based); 2023 SOTIR notes GNPD logged no VN plant-based meat launches (2022-Q2 2023),NGO,gfi-apac.org,active; no VN-specific programme found (checked 2026-09-23),ECO-22; ECO-23; ECO-24; ECO-73; VCO-21,VN-direct,High,"VN is peripheral in GFI APAC's published work. | 2 companies, both plant-based; founded 2019 and 2023; one dairy (cheese, other dairy), one meat/seafood and ingredients. No Vietnamese researchers, research centres, courses or student groups listed",wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-21, Medium] Vietnam entries: was ""2 Vietnamese companies (names not rendered)""; wave 2: ""2 companies, both plant-based; founded 2019 and 2023; one dairy (cheese, other dairy), one meat/seafood and ingredients. No Vietnamese researchers, research centres, courses or student groups listed"" (appended to notes). Neither founding year matches Emmay (2017) or Kashew (2020); names still unknown. Company list URL returned 404.",,
CO-085,VinaCapital Ventures,VinaCapital Ventures,other,Ho Chi Minh City,n/a,2019 (not verified),Vietnam,other,VC arm of VinaCapital; invested in INNOHAS (Korea) Jul 2024,n/a,n/a,n/a,,active (checked 2026-09-23),ECO-65,VN-direct,Medium,Only VN VC alt-protein deal found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-086,Mekong Capital,Mekong Capital,other,Ho Chi Minh City,n/a,2001,Vietnam,other,Mekong Enterprise Fund IV invested USD 25 m in Entobel (2022),n/a,n/a,n/a,mekongcapital.com,active (checked 2026-09-23),ECO-02; ECO-03,VN-direct,High,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-087,Dragon Capital,Dragon Capital,other,Ho Chi Minh City,n/a,1994,Vietnam/UK,other,USD 5 m in Entobel (2022),n/a,n/a,n/a,,active (checked 2026-09-23),ECO-03,VN-direct,High,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-088,IFC (World Bank Group),IFC,other,n/a,n/a,1956,Multilateral,other,"USD 2.5 m to Entobel (project IFC-46903, board 23 Feb 2023)",n/a,n/a,n/a,ifc.org,active (checked 2026-09-23),ECO-03,VN-direct,High,Only DFI alt-protein investment in VN found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-089,ADB #SheExports / We-Fi / WISE,ADB SheExports,other,n/a,n/a,n/a,Multilateral / Vietnam NGO (WISE),other,Export accelerator for women-led SMEs; Emmay a 2023 participant,n/a,n/a,Grant-funded programme,we-fi.org,active (checked 2026-09-23),ECO-13,VN-direct,Medium,"Generic SME support, not alt-protein specific.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-090,"Vedan Vietnam Enterprise Corp. (Vedan International (Holdings), HKEX 2317)",Cong ty CP Huu han Vedan Viet Nam,ingredient supplier,Dong Nai,"Phuoc Thai commune (former Long Thanh district), Dong Nai: 120 ha complex with own port; Phuoc Long tapioca starch plant, Dong Nai (former Binh Phuoc)",1991,Taiwan,multinational,"MSG, glutamic acid, lysine, PGA, CMS, native and modified starch, glucose syrup, chlor-alkali, fertiliser and feed pellets, coffee",Cassava starch and cane molasses (carbon sources); fermentation biomass by-products,"GA 180,000 t/yr (2004 nameplate, last published); lysine 15,000 t/yr (1998); glucose syrup 140,000 t/yr (1995); 700 m3 tanks, count undisclosed; Vietnam revenue USD 154.3 m (2025), USD 79.6 m (H1 2026) | Glutamic acid (GA) production raised from 140,000 to 180,000 t/yr in 2004 (latest published nameplate); caustic soda 60,000 to 80,000 t/yr (2004) | Still not disclosed (AR 2025, interim 2026, website). Modelled: about 11 to 17 tanks of 700 m3 needed for 180,000 t/yr GA (about 7,700 to 11,900 m3 for GA alone) | 2025 group: revenue USD 374.7 m; net profit USD 17.1 m; MSG and seasonings USD 202.4 m (54.0%); starch and starch sugar USD 63.5 m (17.0%); coffee beans USD 46.8 m (12.5%); fertiliser and feed USD 27.1 m (7.2%); specialty chemicals USD 19.6 m (5.2%) | More than 3,000 employees; 120 ha; on-site plants: starch and glucose syrup, MSG, modified starch, chlor-alkali, lysine, co-generation, PGA, Vedagro pellet",Listed parent (HKEX),vedan.com.vn,active (checked 2026-09-23),VCO-01; VCO-02; VCO-03; VCO-04; VCO-05,VN-direct,High,Largest aerobic fermentation base in Vietnam (with Ajinomoto). No capacity figure in AR 2025. Capex 2025 USD 9.8 m for equipment replacement only. | Cassava prices rose sharply from Q4 2025 through H1 2026; molasses tight in H1 2026 (shipping costs),wave 2 VERIFY-CO (new),"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO] New row from companies_new.csv. || [wave 2 VERIFY-CO, VCO-03, Medium] scale_indicators (glutamic acid capacity): was ""GA fermentation 36,000 t/yr (1995); expanded 1998 and 2004-05; current total not published""; wave 2: ""Glutamic acid (GA) production raised from 140,000 to 180,000 t/yr in 2004 (latest published nameplate); caustic soda 60,000 to 80,000 t/yr (2004)"" (appended to scale_indicators). Company milestones page (undated, historic nameplate). Annual Report 2025 gives no capacity (VCO-01). Treat 180,000 t/yr GA as the last published nameplate, not current output. || [wave 2 VERIFY-CO, VCO-01; VCO-02; VCO-03; VCO-05, Low] scale_indicators (fermentation tank count): was ""700 m3 per tank; tank count unknown""; wave 2: ""Still not disclosed (AR 2025, interim 2026, website). Modelled: about 11 to 17 tanks of 700 m3 needed for 180,000 t/yr GA (about 7,700 to 11,900 m3 for GA alone)"" (appended to scale_indicators). Modelled estimate by VERIFY-CO: titre 150 to 180 g/L, 75 to 80% working volume, 150 to 180 batches per tank per year, 90% recovery. Excludes lysine and PGA tanks. Older tanks may be smaller. || [wave 2 VERIFY-CO, VCO-01; VCO-02, High] revenue: was ""Vietnam revenue USD 166 m in 2024 (43.7% of group)""; wave 2: ""Vietnam revenue USD 154.3 m in 2025 (41.2% of group; down 7.0%); H1 2026 USD 79.6 m (up 8.5%; 38.7% share)"" (already in row). Primary HKEX filings. 2024 figure confirmed (USD 165.956 m). 'Vietnam' is revenue by customer market, not plant output. || [wave 2 VERIFY-CO, VCO-01, High] revenue by product 2025: was ""Group MSG and seasoning revenue about USD 218 m (2024)""; wave 2: ""2025 group: revenue USD 374.7 m; net profit USD 17.1 m; MSG and seasonings USD 202.4 m (54.0%); starch and starch sugar USD 63.5 m (17.0%); coffee beans USD 46.8 m (12.5%); fertiliser and feed USD 27.1 m (7.2%); specialty chemicals USD 19.6 m (5.2%)"" (appended to scale_indicators). Group level (Vietnam, China, Japan, ASEAN, etc.). Capex 2025 USD 9.8 m, for replacing obsolete equipment at a Vietnamese subsidiary: no sign of new capacity. || [wave 2 VERIFY-CO, VCO-01; VCO-02, High] feedstock_context: was ""n/a""; wave 2: ""Cassava prices rose sharply from Q4 2025 through H1 2026; molasses tight in H1 2026 (shipping costs)"" (appended to notes). Company commentary; no prices given. || [wave 2 VERIFY-CO, VCO-04, Medium] scale_indicators (staff, site): was ""About 3,830 staff (2024); 120 ha""; wave 2: ""More than 3,000 employees; 120 ha; on-site plants: starch and glucose syrup, MSG, modified starch, chlor-alkali, lysine, co-generation, PGA, Vedagro pellet"" (appended to scale_indicators). Company page, undated.",Dong Nai,
CO-091,"VAL (Vietnam Agribusiness Co., Ltd; Bunge-Wilmar JV)",Cong ty TNHH Kinh doanh nong san Viet Nam,ingredient supplier,Ho Chi Minh City (former Ba Ria-Vung Tau),"Phu My 1 Industrial Park, Phu My ward, HCMC (former Ba Ria-Vung Tau)",not verified,"USA / Singapore (Bunge, Wilmar)",multinational,"Soybean meal (feed), soybean oil",Imported soybeans,2.6 Mt soybeans/yr; nearly 2 Mt meal/yr after USD 100 m second line (Dec 2025); target 30% of domestic soybean meal,n/a,,active (checked 2026-09-23),VCO-16,VN-direct,Medium,Feed-grade only as far as known. The obvious local source of defatted soy for TVP if a food-grade line were added.,wave 2 VERIFY-CO (new),"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO] New row from companies_new.csv. || [wave 2 VERIFY-CO, VCO-16, Medium] plant_location / capacity: was ""VAL Phu My 2.6 Mt/yr (formulation wave, press)""; wave 2: ""Confirmed: legal name Cong ty TNHH Kinh doanh nong san Viet Nam; Phu My 1 Industrial Park, Phu My ward, HCMC (former Ba Ria-Vung Tau); 2.6 Mt soybeans/yr and nearly 2 Mt soybean meal/yr after a USD 100 m second line (Dec 2025); target 30% of domestic soybean meal market"" (already in row). Press report of company figures. No food-grade or protein-isolate line mentioned. Ownership split not stated.",Ho Chi Minh City,Ba Ria-Vung Tau
CO-092,De Heus Vietnam (Royal De Heus; incl. former CJ Feed & Care Vietnam),Cong ty TNHH De Heus,other,Ho Chi Minh City (office; not verified),"21 plants nationwide (14 livestock, 6 aqua, 1 premix), incl. Vinh Long, Hai Phong, Nghe An, Can Tho (former Hau Giang), Phu Tho (former Vinh Phuc) branches; Vinh Long marine and cold-water fish feed mill 168,000 t/yr (Jul 2026); aqua R&D facility Vinh Long (Jul 2024)",2009 in VN (company); 18+ years claimed,Netherlands,multinational,"Livestock feed, aquafeed, premix","Soybean meal, fishmeal (typical)","21 plants (2026 site); acquired CJ Feed & Care (5 countries, 17 mills total) announced 1 Oct 2025, completed 3 Mar 2026 | 21 plants nationwide: 14 livestock feed, 6 aquafeed, 1 premix (company Vietnam site, Sept 2026) | 168,000 t/yr (De Heus global release, 22 Jul 2026); first De Heus mill dedicated to marine and cold-water fish (sea bass, barramundi); ISO 22000, ASC Feed, BAP",n/a,deheus.com.vn,active (checked 2026-09-23),VCO-07; VCO-08; VCO-09; VCO-10; VCO-11,VN-direct,Medium,"Largest feed buyer to target for novel feed proteins. ASC Feed certification for pangasius and tilapia feeds (Aug 2026). Branch-to-province mapping by VERIFY-CO. | Royal De Heus announced acquisition of CJ Feed & Care on 1 Oct 2025 and completed it on 3 Mar 2026. Scope: Vietnam, Indonesia, Cambodia, South Korea and the Philippines; 17 feed mills in total across all five countries plus livestock operations. Price not disclosed.",wave 2 VERIFY-CO (new),"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO] New row from companies_new.csv. || [wave 2 VERIFY-CO, VCO-07; VCO-08, High] ownership: was ""'De Heus reportedly took over CJ's feed plants in early 2026' / 'De Heus has 17 plants from buying CJ Feed & Care' (unverified)""; wave 2: ""Royal De Heus announced acquisition of CJ Feed & Care on 1 Oct 2025 and completed it on 3 Mar 2026. Scope: Vietnam, Indonesia, Cambodia, South Korea and the Philippines; 17 feed mills in total across all five countries plus livestock operations. Price not disclosed."" (appended to notes). Correction: 17 mills is the five-country total, not Vietnam. Vietnam mill count within the deal not disclosed. || [wave 2 VERIFY-CO, VCO-09, Medium] scale_indicators (plant count): was ""23 facilities (2023); about 4 Mt/yr claimed""; wave 2: ""21 plants nationwide: 14 livestock feed, 6 aquafeed, 1 premix (company Vietnam site, Sept 2026)"" (appended to scale_indicators). Unclear whether the 21 include former CJ Vietnam mills. If they do, some sites were closed or merged. Ask De Heus. || [wave 2 VERIFY-CO, VCO-10, Medium] capacity: was ""84,000 t/yr (July 2026)""; wave 2: ""168,000 t/yr (De Heus global release, 22 Jul 2026); first De Heus mill dedicated to marine and cold-water fish (sea bass, barramundi); ISO 22000, ASC Feed, BAP"" (appended to scale_indicators). Conflict with wave-1 84,000 t/yr (trade press). 84,000 may be phase 1 or a different basis. Use 168,000 t/yr as company-stated design capacity.",Ho Chi Minh City,
CO-093,Skretting Vietnam (Nutreco),Skretting Viet Nam,other,Ho Chi Minh City,"Office Alpha Tower, Xuan Hoa ward, HCMC; plant sites not stated",not verified,"Netherlands (Nutreco, SHV)",multinational,"Shrimp and fish feed (Jade+, LifeStart)",Includes Entobel H-Meal insect protein in commercial shrimp feed since Nov 2025,"About 100,000 t/yr supplied (wave-1 trade press, unverified)",n/a,skretting.com/vi-vn,active (checked 2026-09-23),VCO-27; VCO-28,VN-direct,Medium,"First commercial insect-meal shrimp feed in Vietnam (company claim, Nov 2025).",wave 2 VERIFY-CO (new),"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO] New row from companies_new.csv. || [wave 2 VERIFY-CO, VCO-27, Medium] plant_location: was ""Not stated; about 100,000 t/yr supplied""; wave 2: ""Office: Alpha Tower, 151-153 Nguyen Dinh Chieu, Xuan Hoa ward, HCMC. Plant locations and capacity not given on site. 2026 launches: Jade+ shrimp feed (23 Apr 2026), LifeStart catfish fry feed (16 Apr 2026)"" (already in row). Parent: Nutreco. Nutreco Vietnam CEO Duco Onnes (Nov 2025).",Ho Chi Minh City,
CO-094,Uni-President Vietnam,Cong ty TNHH Uni-President Viet Nam,other,Ho Chi Minh City (former Binh Duong),"Song Than 2 IZ, HCMC (former Binh Duong); Dong Thap (former Tien Giang); Khanh Hoa (former Ninh Thuan); Da Nang (former Quang Nam)",1999,Taiwan,multinational,"Aquafeed, livestock feed, wheat flour, instant noodles, beverages","Soybean meal, fishmeal, wheat (typical)",Top-six shrimp feed maker (wave 1); capacities not published,n/a,uni-president.com.vn,active (checked 2026-09-23),VCO-29,VN-direct,Medium,Also a flour miller: a possible wheat-gluten-adjacent actor (not verified).,wave 2 VERIFY-CO (new),"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO] New row from companies_new.csv. || [wave 2 VERIFY-CO, VCO-29, Medium] plant_location: was ""Not stated""; wave 2: ""Founded 1999 in Binh Duong. Sites: Song Than 2 Industrial Zone (HCMC, former Binh Duong; HQ), Dong Thap (former Tien Giang), Khanh Hoa (former Ninh Thuan), Da Nang (former Quang Nam). Lines: aquafeed, livestock feed, wheat flour, instant noodles, beverages"" (already in row). Site does not say which site makes aquafeed or give capacities. Province mapping by VERIFY-CO (2025 merger).",Ho Chi Minh City,Binh Duong
CO-095,Grobest Vietnam,Grobest Viet Nam,other,"Dong Nai (wave 1, not re-verified)",2 plants in Dong Nai (wave-1 trade press),"1974 (group, Taiwan)",Taiwan,multinational,Shrimp feed,"Fishmeal, soybean meal (typical)","Group about 3,000 staff in 8 countries",n/a,grobest.com,"active (checked 2026-09-23) | Grobest (founded Taiwan 1974, about 3,000 staff) lists Vietnam among 8 operating countries; released 2024 Sustainability Report on 30 Mar 2026; no Vietnam plant data on site",VCO-30,VN-adjacent,Low,Top-six shrimp feed maker (wave 1).,wave 2 VERIFY-CO (new),"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO] New row from companies_new.csv. || [wave 2 VERIFY-CO, VCO-30, Low] status: was ""2 plants in Dong Nai (trade press)""; wave 2: ""Grobest (founded Taiwan 1974, about 3,000 staff) lists Vietnam among 8 operating countries; released 2024 Sustainability Report on 30 Mar 2026; no Vietnam plant data on site"" (appended to status). Plant locations remain from wave-1 trade press.",Dong Nai,
CO-096,Nestle Harvest Gourmet (brand),,plant-based meat,n/a (Switzerland),,,Switzerland,,,,,,,harvestgourmet.com redirects to a domain-for-sale page (23 Sep 2026). No evidence of Vietnam sale found,VCO-25,general,Low,Suggests the brand's web presence has lapsed; not proof of discontinuation. Nestle Vietnam brand page returned 404.,wave 2 VERIFY-CO (update row with no wave 1 entry),"2026-09-23 (wave 2, VERIFY-CO)",[wave 2 VERIFY-CO] Added from companies_update.csv; no wave 1 or companies_new row existed.,,
CO-097,Thai Duong Feed JSC,Cong ty Co phan Thuc an chan nuoi Thai Duong,feed SCP/yeast,unknown (VN),not recorded,unknown,Vietnam,feed mill (SME or mid-size; not verified),Yeast protein (more than 46% protein) made from cereals and molasses to replace soybean meal (national project 2016 to 2019),Cereals; molasses,120 t of liquid product in the project; production line costing VND 167 billion,National science and technology project (2016 to 2019),,line status unknown (Sep 2026),HSC-06; HSC-07,VN-direct,Medium,The only Vietnamese precedent for industrial single-cell feed protein found; linked to a 2019 US patent application (Low). Found in the v0.2 horizon scan.,"v0.2 (futures round, HSC)","2026-09-24 (v0.2, HSC)",[v0.2] New row.,,
