record_id,province,school_en,school_week_id,week_start,weekday,protein_dishes_vi,protein_codes,n_protein_dishes,plant_protein_in_protein_dishes,plant_role,animal_free_day,minced_or_processed_meat_or_fish_dish,fish_or_seafood,plant_protein_in_soup,textured_soy_or_mock_meat,menu_author,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-M206,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W2,2026-09-14,Mon,Thịt kho tàu,pork,1,none,none,no,no,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M207,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W2,2026-09-14,Tue,Gà rang gừng,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M208,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W2,2026-09-14,Wed,"Trứng đảo bông / Thịt băm cà rốt, ngô ngọt",egg / pork,2,none,none,no,yes,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M209,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W2,2026-09-14,Thu,Thịt kho đậu,pork+tofu,1,tofu,mixed into meat dish,no,no,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M210,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W3,2026-09-21,Mon,Thịt kho trứng,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M211,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W3,2026-09-21,Tue,"Thịt, đậu sốt cà chua",pork+tofu,1,tofu,mixed into meat dish,no,no,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M212,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W3,2026-09-21,Wed,Cá chiên giòn,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M213,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W3,2026-09-21,Thu,"Thịt băm xào đậu cove, ngô ngọt",pork,1,none,none,no,yes,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M214,Hai Phong,Nguyen Van Troi Primary (Cat Hai special zone),HP-NVT-W3,2026-09-21,Fri,Sườn xào chua ngọt,pork,1,none,none,no,no,no,none,none,not stated,,PMR-28,VN-direct,High,revealed,
PMR-M215,Hai Phong,Nguyen Du Primary (Kien An ward),HP-ND-W4,2026-09-21,Mon,"Thịt nạc mông, vai chiên giòn",pork,1,none,none,no,no,no,none,none,school kitchen (principal approves),,PMR-29,VN-direct,High,revealed,
PMR-M216,Hai Phong,Nguyen Du Primary (Kien An ward),HP-ND-W4,2026-09-21,Tue,"Thịt lợn, trứng gà kho tầu",pork+egg,1,none,none,no,no,no,none,none,school kitchen (principal approves),,PMR-29,VN-direct,High,revealed,
PMR-M217,Hai Phong,Nguyen Du Primary (Kien An ward),HP-ND-W4,2026-09-21,Wed,Cá rô phi phi lê chiên giòn,fish,1,none,none,no,no,yes,none,none,school kitchen (principal approves),,PMR-29,VN-direct,High,revealed,
PMR-M218,Hai Phong,Nguyen Du Primary (Kien An ward),HP-ND-W4,2026-09-21,Thu,Chả quế rim mắm / Thịt xay rim mắm,pork_proc / pork,2,none,none,no,yes,no,none,none,school kitchen (principal approves),,PMR-29,VN-direct,High,revealed,
PMR-M219,Hai Phong,Nguyen Du Primary (Kien An ward),HP-ND-W4,2026-09-21,Fri,Tôm tẩm bột chiên giòn / Trứng gà đảo bông,seafood / egg,2,none,none,no,no,yes,none,none,school kitchen (principal approves),,PMR-29,VN-direct,High,revealed,
PMR-M220,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W1,2026-09-07,Mon,Thịt xay rim mắm / Trứng rán,pork / egg,2,none,none,no,yes,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M221,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W1,2026-09-07,Tue,Thịt kho tàu,pork,1,none,none,no,no,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M222,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W1,2026-09-07,Wed,Thịt xay rim mắm / Cá chiên,pork / fish,2,none,none,no,yes,yes,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M223,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W1,2026-09-07,Thu,Sườn kho trứng cút,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M224,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W1,2026-09-07,Fri,Thịt gà rán,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M225,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W3,2026-09-21,Mon,"Đậu rán / Thịt viên mộc nhĩ, nấm hương sốt cà chua",tofu / pork_proc,2,tofu,second dish beside meat,no,yes,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M226,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W3,2026-09-21,Tue,"Thịt gà, ớt chuông xào sả",chicken,1,none,none,no,no,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M227,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W3,2026-09-21,Wed,Thịt lợn kho trứng,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M228,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W3,2026-09-21,Thu,Thịt lợn hấp xì dầu,pork,1,none,none,no,no,no,tofu+egg,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M229,Hai Phong,Le Van Tam Primary (Le Chan ward),HP-LVT-W3,2026-09-21,Fri,"Tôm tẩm bột chiên / Trứng, cà rốt xào mộc nhĩ",seafood / egg,2,none,none,no,no,yes,none,none,not stated,,PMR-30,VN-direct,High,revealed,
PMR-M230,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W2,2026-09-14,Mon,Thịt băm rim mắm / Trứng cuộn lá lốt,pork / egg,2,none,none,no,yes,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M231,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W2,2026-09-14,Tue,"Sườn non kho củ cải, nấm hương / Lạc rang muối đường",pork / peanut,2,peanut,second dish beside meat,no,no,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M232,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W2,2026-09-14,Wed,Thịt gà tẩm bột chiên / Trứng cuộn đúc thịt,chicken / egg+pork,2,none,none,no,no,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M233,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W2,2026-09-14,Thu,"Thịt bò, thịt lợn hầm khoai tây / Lạc muối vừng",beef+pork / peanut,2,peanut,second dish beside meat,no,no,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M234,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W2,2026-09-14,Fri,Tôm tẩm bột chiên / Đậu rim mắm,seafood / tofu,2,tofu,second dish beside meat,no,no,yes,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M235,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W3,2026-09-21,Mon,Đùi gà chiên mắm / Thịt lợn xay rim,chicken / pork,2,none,none,no,yes,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M236,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W3,2026-09-21,Tue,Thịt heo xào lăn / Trứng cuộn lá lốt,pork / egg,2,none,none,no,no,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M237,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W3,2026-09-21,Wed,Tôm rang thịt,seafood+pork,1,none,none,no,no,yes,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M238,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W3,2026-09-21,Thu,Thịt lợn kho tàu / Trứng đảo bông,pork / egg,2,none,none,no,no,no,none,none,not stated,,PMR-31,VN-direct,High,revealed,
PMR-M239,Hai Phong,Cat Bi Primary (Hai An ward),HP-CB-W3,2026-09-21,Fri,Cá rô phi tẩm bột rán / Chả lụa xào ngũ sắc,fish / pork_proc,2,none,none,no,yes,yes,none,none,not stated,,PMR-31,VN-direct,High,revealed,
